24.1	Ἑρμῆς δὲ ψυχὰς Κυλλήνιος ἐξεκαλεῖτο
24.2	ἀνδρῶν μνηστήρων· ἔχε δὲ ῥάβδον μετὰ χερσὶν
24.3	καλὴν χρυσείην, τῇ τʼ ἀνδρῶν ὄμματα θέλγει
24.4	ὧν ἐθέλει, τοὺς δʼ αὖτε καὶ ὑπνώοντας ἐγείρει·
24.5	τῇ ῥʼ ἄγε κινήσας, ταὶ δὲ τρίζουσαι ἕποντο.
24.6	ὡς δʼ ὅτε νυκτερίδες μυχῷ ἄντρου θεσπεσίοιο
24.7	τρίζουσαι ποτέονται, ἐπεί κέ τις ἀποπέσῃσιν
24.8	ὁρμαθοῦ ἐκ πέτρης, ἀνά τʼ ἀλλήλῃσιν ἔχονται,
24.9	ὣς αἱ τετριγυῖαι ἅμʼ ἤϊσαν· ἦρχε δʼ ἄρα σφιν
24.10	Ἑρμείας ἀκάκητα κατʼ εὐρώεντα κέλευθα.
24.11	πὰρ δʼ ἴσαν Ὠκεανοῦ τε ῥοὰς καὶ Λευκάδα πέτρην,
24.12	ἠδὲ παρʼ Ἠελίοιο πύλας καὶ δῆμον ὀνείρων
24.13	ἤϊσαν· αἶψα δʼ ἵκοντο κατʼ ἀσφοδελὸν λειμῶνα,
24.14	ἔνθα τε ναίουσι ψυχαί, εἴδωλα καμόντων.
24.15	εὗρον δὲ ψυχὴν Πηληϊάδεω Ἀχιλῆος
24.16	καὶ Πατροκλῆος καὶ ἀμύμονος Ἀντιλόχοιο
24.17	Αἴαντός θʼ, ὃς ἄριστος ἔην εἶδός τε δέμας τε
24.18	τῶν ἄλλων Δαναῶν μετʼ ἀμύμονα Πηλεΐδαο
24.19	ὣς οἱ μὲν περὶ κεῖνον ὁμίλεον· ἀγχίμολον δὲ
24.20	ἤλυθʼ ἔπι ψυχὴ Ἀγαμέμνονος Ἀτρεΐδαο
24.21	ἀχνυμένη· περὶ δʼ ἄλλαι ἀγηγέραθʼ, ὅσσαι ἅμʼ αὐτῷ
24.22	οἴκῳ ἐν Αἰγίσθοιο θάνον καὶ πότμον ἐπέσπον.
24.23	τὸν προτέρη ψυχὴ προσεφώνεε Πηλεΐωνος·
