21.1	τῇ δʼ ἄρʼ ἐπὶ φρεσὶ θῆκε θεὰ γλαυκῶπις Ἀθήνη,
21.2	κούρῃ Ἰκαρίοιο, περίφρονι Πηνελοπείῃ,
21.3	τόξον μνηστήρεσσι θέμεν πολιόν τε σίδηρον
21.4	ἐν μεγάροις Ὀδυσῆος, ἀέθλια καὶ φόνου ἀρχήν.
21.5	κλίμακα δʼ ὑψηλὴν προσεβήσετο οἷο δόμοιο,
21.6	εἵλετο δὲ κληῗδʼ εὐκαμπέα χειρὶ παχείῃ
21.7	καλὴν χαλκείην· κώπη δʼ ἐλέφαντος ἐπῆεν.
21.8	βῆ δʼ ἴμεναι θάλαμόνδε σὺν ἀμφιπόλοισι γυναιξὶν
21.9	ἔσχατον· ἔνθα δέ οἱ κειμήλια κεῖτο ἄνακτος,
21.10	χαλκός τε χρυσός τε πολύκμητός τε σίδηρος.
21.11	ἔνθα δὲ τόξον κεῖτο παλίντονον ἠδὲ φαρέτρη
21.12	ἰοδόκος, πολλοὶ δʼ ἔνεσαν στονόεντες ὀϊστοί,
21.13	δῶρα τά οἱ ξεῖνος Λακεδαίμονι δῶκε τυχήσας
21.14	Ἴφιτος Εὐρυτίδης, ἐπιείκελος ἀθανάτοισι.
21.15	τὼ δʼ ἐν Μεσσήνῃ ξυμβλήτην ἀλλήλοιϊν
21.16	οἴκῳ ἐν Ὀρτιλόχοιο δαΐφρονος. ἦ τοι Ὀδυσσεὺς
21.17	ἦλθε μετὰ χρεῖος, τό ῥά οἱ πᾶς δῆμος ὄφελλε·
21.18	μῆλα γὰρ ἐξ Ἰθάκης Μεσσήνιοι ἄνδρες ἄειραν
21.19	νηυσὶ πολυκλήϊσι τριηκόσιʼ ἠδὲ νομῆας.
21.20	τῶν ἕνεκʼ ἐξεσίην πολλὴν ὁδὸν ἦλθεν Ὀδυσσεὺς
21.21	παιδνὸς ἐών· πρὸ γὰρ ἧκε πατὴρ ἄλλοι τε γέροντες.
21.22	Ἴφιτος αὖθʼ ἵππους διζήμενος, αἵ οἱ ὄλοντο
21.23	δώδεκα θήλειαι, ὑπὸ δʼ ἡμίονοι ταλαεργοί·
21.24	αἳ δή οἱ καὶ ἔπειτα φόνος καὶ μοῖρα γένοντο,
21.25	ἐπεὶ δὴ Διὸς υἱὸν ἀφίκετο καρτερόθυμον,
21.26	φῶθʼ Ἡρακλῆα, μεγάλων ἐπιίστορα ἔργων,
21.27	ὅς μιν ξεῖνον ἐόντα κατέκτανεν ᾧ ἐνὶ οἴκῳ,
21.28	σχέτλιος, οὐδὲ θεῶν ὄπιν ᾐδέσατʼ οὐδὲ τράπεζαν,
21.29	τὴν ἥν οἱ παρέθηκεν· ἔπειτα δὲ πέφνε καὶ αὐτόν,
21.30	ἵππους δʼ αὐτὸς ἔχε κρατερώνυχας ἐν μεγάροισι.
21.31	τὰς ἐρέων Ὀδυσῆϊ συνήντετο, δῶκε δὲ τόξον,
21.32	τὸ πρὶν μέν ῥʼ ἐφόρει μέγας Εὔρυτος, αὐτὰρ ὁ παιδὶ
21.33	κάλλιπʼ ἀποθνῄσκων ἐν δώμασιν ὑψηλοῖσι.
21.34	τῷ δʼ Ὀδυσεὺς ξίφος ὀξὺ καὶ ἄλκιμον ἔγχος ἔδωκεν,
21.35	ἀρχὴν ξεινοσύνης προσκηδέος· οὐδὲ τραπέζῃ
21.36	γνώτην ἀλλήλων· πρὶν γὰρ Διὸς υἱὸς ἔπεφνεν
21.37	Ἴφιτον Εὐρυτίδην, ἐπιείκελον ἀθανάτοισιν,
21.38	ὅς οἱ τόξον ἔδωκε. τὸ δʼ οὔ ποτε δῖος Ὀδυσσεὺς
21.39	ἐρχόμενος πόλεμόνδε μελαινάων ἐπὶ νηῶν
21.40	ᾑρεῖτʼ, ἀλλʼ αὐτοῦ μνῆμα ξείνοιο φίλοιο
21.41	κέσκετʼ ἐνὶ μεγάροισι, φόρει δέ μιν ἧς ἐπὶ γαίης.
21.42	ἡ δʼ ὅτε δὴ θάλαμον τὸν ἀφίκετο δῖα γυναικῶν
21.43	οὐδόν τε δρύϊνον προσεβήσετο, τόν ποτε τέκτων
21.44	ξέσσεν ἐπισταμένως καὶ ἐπὶ στάθμην ἴθυνεν,
21.45	ἐν δὲ σταθμοὺς ἄρσε, θύρας δʼ ἐπέθηκε φαεινάς,
