15.1	ἡ δʼ εἰς εὐρύχορον Λακεδαίμονα Παλλὰς Ἀθήνη
15.2	ᾤχετʼ, Ὀδυσσῆος μεγαθύμου φαίδιμον υἱὸν
15.3	νόστου ὑπομνήσουσα καὶ ὀτρυνέουσα νέεσθαι.
15.4	εὗρε δὲ Τηλέμαχον καὶ Νέστορος ἀγλαὸν υἱὸν
15.5	εὕδοντʼ ἐν προδόμῳ Μενελάου κυδαλίμοιο,
15.6	ἦ τοι Νεστορίδην μαλακῷ δεδμημένον ὕπνῳ·
15.7	Τηλέμαχον δʼ οὐχ ὕπνος ἔχε γλυκύς, ἀλλʼ ἐνὶ θυμῷ
15.8	νύκτα διʼ ἀμβροσίην μελεδήματα πατρὸς ἔγειρεν.
15.9	ἀγχοῦ δʼ ἱσταμένη προσέφη γλαυκῶπις Ἀθήνη·
15.10	Τηλέμαχʼ, οὐκέτι καλὰ δόμων ἄπο τῆλʼ ἀλάλησαι,
15.11	κτήματά τε προλιπὼν ἄνδρας τʼ ἐν σοῖσι δόμοισιν
15.12	οὕτω ὑπερφιάλους· μή τοι κατὰ πάντα φάγωσι
15.13	κτήματα δασσάμενοι, σὺ δὲ τηϋσίην ὁδὸν ἔλθῃς.
15.14	ἀλλʼ ὄτρυνε τάχιστα βοὴν ἀγαθὸν Μενέλαον
15.15	πεμπέμεν, ὄφρʼ ἔτι οἴκοι ἀμύμονα μητέρα τέτμῃς.
15.16	ἤδη γάρ ῥα πατήρ τε κασίγνητοί τε κέλονται
15.17	Εὐρυμάχῳ γήμασθαι· ὁ γὰρ περιβάλλει ἅπαντας
15.18	μνηστῆρας δώροισι καὶ ἐξώφελλεν ἔεδνα·
15.19	μή νύ τι σεῦ ἀέκητι δόμων ἐκ κτῆμα φέρηται.
15.20	οἶσθα γὰρ οἷος θυμὸς ἐνὶ στήθεσσι γυναικός·
15.21	κείνου βούλεται οἶκον ὀφέλλειν ὅς κεν ὀπυίῃ,
15.22	παίδων δὲ προτέρων καὶ κουριδίοιο φίλοιο
15.23	οὐκέτι μέμνηται τεθνηκότος οὐδὲ μεταλλᾷ.
15.24	ἀλλὰ σύ γʼ ἐλθὼν αὐτὸς ἐπιτρέψειας ἕκαστα
15.25	δμῳάων ἥ τίς τοι ἀρίστη φαίνεται εἶναι,
15.26	εἰς ὅ κέ τοι φήνωσι θεοὶ κυδρὴν παράκοιτιν.
15.27	ἄλλο δέ τοί τι ἔπος ἐρέω, σὺ δὲ σύνθεο θυμῷ.
15.28	μνηστήρων σʼ ἐπιτηδὲς ἀριστῆες λοχόωσιν
15.29	ἐν πορθμῷ Ἰθάκης τε Σάμοιό τε παιπαλοέσσης.
15.30	ἱέμενοι κτεῖναι, πρὶν πατρίδα γαῖαν ἱκέσθαι.
15.31	ἀλλὰ τά γʼ οὐκ ὀΐω· πρὶν καί τινα γαῖα καθέξει
15.32	ἀνδρῶν μνηστήρων, οἵ τοι βίοτον κατέδουσιν.
15.33	ἀλλὰ ἑκὰς νήσων ἀπέχειν εὐεργέα νῆα,
15.34	νυκτὶ δʼ ὁμῶς πλείειν· πέμψει δέ τοι οὖρον ὄπισθεν
15.35	ἀθανάτων ὅς τίς σε φυλάσσει τε ῥύεταί τε.
15.36	αὐτὰρ ἐπὴν πρώτην ἀκτὴν Ἰθάκης ἀφίκηαι,
15.37	νῆα μὲν ἐς πόλιν ὀτρῦναι καὶ πάντας ἑταίρους,
15.38	αὐτὸς δὲ πρώτιστα συβώτην εἰσαφικέσθαι,
15.39	ὅς τοι ὑῶν ἐπίουρος, ὁμῶς δέ τοι ἤπια οἶδεν.
15.40	ἔνθα δὲ νύκτʼ ἀέσαι· τὸν δʼ ὀτρῦναι πόλιν εἴσω
15.41	ἀγγελίην ἐρέοντα περίφρονι Πηνελοπείῃ,
15.42	οὕνεκά οἱ σῶς ἐσσὶ καὶ ἐκ Πύλου εἰλήλουθας.
15.43	ἡ μὲν ἄρʼ ὣς εἰποῦσʼ ἀπέβη πρὸς μακρὸν Ὄλυμπον,
15.44	αὐτὰρ ὁ Νεστορίδην ἐξ ἡδέος ὕπνου ἔγειρεν
15.45	λὰξ ποδὶ κινήσας, καί μιν πρὸς μῦθον ἔειπεν·
15.46	ἔγρεο, Νεστορίδη Πεισίστρατε, μώνυχας ἵππους
15.47	ζεῦξον ὑφʼ ἅρματʼ ἄγων, ὄφρα πρήσσωμεν ὁδοῖο.
15.48	τὸν δʼ αὖ Νεστορίδης Πεισίστρατος ἀντίον ηὔδα·
